"Datenbasis";"Wirtschaftszweig (WZ2008)";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61265 Krausnick-Groß Wasserburg";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61265 Krausnick-Groß Wasserburg";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61265 Krausnick-Groß Wasserburg";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61308 Lieberose, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61308 Lieberose, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61308 Lieberose, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61308 Lieberose, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61316 Lübben (Spreewald), Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61316 Lübben (Spreewald), Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61316 Lübben (Spreewald), Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61316 Lübben (Spreewald), Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61320 Luckau, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61320 Luckau, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61320 Luckau, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61320 Luckau, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61328 Märkisch Buchholz, Stadt";"0  bis     9";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61328 Märkisch Buchholz, Stadt";"10  bis   49";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61328 Märkisch Buchholz, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"52.1 Lagerei";"2018";"61328 Märkisch Buchholz, Stadt";"250 und mehr";-;
