"Datenbasis";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"2018";"61308 Lieberose, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61308 Lieberose, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61316 Lübben (Spreewald), Stadt";"0  bis     9";607;
"Anzahl  Niederlassungen";"2018";"61316 Lübben (Spreewald), Stadt";"10  bis   49";69;
"Anzahl  Niederlassungen";"2018";"61316 Lübben (Spreewald), Stadt";"50  bis 249";15;
"Anzahl  Niederlassungen";"2018";"61316 Lübben (Spreewald), Stadt";"250 und mehr";2;
"Anzahl  Niederlassungen";"2018";"61320 Luckau, Stadt";"0  bis     9";395;
"Anzahl  Niederlassungen";"2018";"61320 Luckau, Stadt";"10  bis   49";60;
"Anzahl  Niederlassungen";"2018";"61320 Luckau, Stadt";"50  bis 249";10;
"Anzahl  Niederlassungen";"2018";"61320 Luckau, Stadt";"250 und mehr";2;
"Anzahl  Niederlassungen";"2018";"61328 Märkisch Buchholz, Stadt";"0  bis     9";39;
"Anzahl  Niederlassungen";"2018";"61328 Märkisch Buchholz, Stadt";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"61328 Märkisch Buchholz, Stadt";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61328 Märkisch Buchholz, Stadt";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61329 Märkische Heide";"0  bis     9";131;
"Anzahl  Niederlassungen";"2018";"61329 Märkische Heide";"10  bis   49";10;
"Anzahl  Niederlassungen";"2018";"61329 Märkische Heide";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"61329 Märkische Heide";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61332 Mittenwalde, Stadt";"0  bis     9";380;
"Anzahl  Niederlassungen";"2018";"61332 Mittenwalde, Stadt";"10  bis   49";46;
"Anzahl  Niederlassungen";"2018";"61332 Mittenwalde, Stadt";"50  bis 249";16;
"Anzahl  Niederlassungen";"2018";"61332 Mittenwalde, Stadt";"250 und mehr";3;
"Anzahl  Niederlassungen";"2018";"61344 Münchehofe";"0  bis     9";13;
"Anzahl  Niederlassungen";"2018";"61344 Münchehofe";"10  bis   49";2;
"Anzahl  Niederlassungen";"2018";"61344 Münchehofe";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61344 Münchehofe";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61352 Neu Zauche";"0  bis     9";33;
"Anzahl  Niederlassungen";"2018";"61352 Neu Zauche";"10  bis   49";5;
"Anzahl  Niederlassungen";"2018";"61352 Neu Zauche";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"61352 Neu Zauche";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61405 Rietzneuendorf-Staakow";"0  bis     9";12;
"Anzahl  Niederlassungen";"2018";"61405 Rietzneuendorf-Staakow";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"61405 Rietzneuendorf-Staakow";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61405 Rietzneuendorf-Staakow";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61428 Schlepzig";"0  bis     9";35;
"Anzahl  Niederlassungen";"2018";"61428 Schlepzig";"10  bis   49";4;
"Anzahl  Niederlassungen";"2018";"61428 Schlepzig";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"61428 Schlepzig";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61433 Schönefeld";"0  bis     9";1025;
"Anzahl  Niederlassungen";"2018";"61433 Schönefeld";"10  bis   49";133;
"Anzahl  Niederlassungen";"2018";"61433 Schönefeld";"50  bis 249";46;
"Anzahl  Niederlassungen";"2018";"61433 Schönefeld";"250 und mehr";10;
"Anzahl  Niederlassungen";"2018";"61435 Schönwald";"0  bis     9";41;
"Anzahl  Niederlassungen";"2018";"61435 Schönwald";"10  bis   49";4;
"Anzahl  Niederlassungen";"2018";"61435 Schönwald";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61435 Schönwald";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61444 Schulzendorf";"0  bis     9";306;
"Anzahl  Niederlassungen";"2018";"61444 Schulzendorf";"10  bis   49";9;
"Anzahl  Niederlassungen";"2018";"61444 Schulzendorf";"50  bis 249";2;
"Anzahl  Niederlassungen";"2018";"61444 Schulzendorf";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61448 Schwerin";"0  bis     9";44;
"Anzahl  Niederlassungen";"2018";"61448 Schwerin";"10  bis   49";1;
"Anzahl  Niederlassungen";"2018";"61448 Schwerin";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61448 Schwerin";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61450 Schwielochsee";"0  bis     9";89;
