AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
66292;12066292;Schwarzbach;;;;;;;17;16;1;0;0;244
66296;12066296;Schwarzheide, Stadt;;;;;;;252;194;48;9;1;264
66304;12066304;Senftenberg, Stadt;;;;;;;958;830;92;31;5;150
66316;12066316;Tettau;;;;;;;25;24;1;0;0;254
66320;12066320;Vetschau/Spreewald, Stadt;;;;;;;337;300;31;5;1;338
67024;12067024;Bad Saarow;;;;;;;258;234;15;8;1;60
67036;12067036;Beeskow, Stadt;;;;;;;455;407;36;11;1;344
67040;12067040;Berkenbrück;;;;;;;31;29;2;0;0;322
67072;12067072;Briesen (Mark);;;;;;;84;78;6;0;0;288
67076;12067076;Brieskow-Finkenheerd;;;;;;;93;83;10;0;0;126
67112;12067112;Diensdorf-Radlow;;;;;;;17;16;1;0;0;34
67120;12067120;Eisenhüttenstadt, Stadt;;;;;;;1001;862;101;35;3;353
67124;12067124;Erkner, Stadt;;;;;;;480;445;29;6;0;391
67137;12067137;Friedland, Stadt;;;;;;;126;120;6;0;0;350
67144;12067144;Fürstenwalde/Spree, Stadt;;;;;;;1317;1158;122;31;6;249
67173;12067173;Gosen-Neu Zittau;;;;;;;179;169;9;1;0;108
67180;12067180;Groß Lindow;;;;;;;68;66;2;0;0;274
67201;12067201;Grünheide (Mark);;;;;;;332;302;24;2;4;228
67205;12067205;Grunow-Dammendorf;;;;;;;20;20;0;0;0;401
67237;12067237;Jacobsdorf;;;;;;;81;68;12;1;0;127
67288;12067288;Langewahl;;;;;;;23;22;1;0;0;333
67292;12067292;Lawitz;;;;;;;16;16;0;0;0;280
67324;12067324;Mixdorf;;;;;;;32;31;1;0;0;318
67336;12067336;Müllrose, Stadt;;;;;;;188;164;22;1;1;334
67338;12067338;Neißemünde;;;;;;;44;42;2;0;0;380
67357;12067357;Neuzelle;;;;;;;137;127;8;2;0;384
67397;12067397;Ragow-Merz;;;;;;;7;7;0;0;0;349
67408;12067408;Rauen;;;;;;;58;55;3;0;0;267
67413;12067413;Reichenwalde;;;;;;;43;39;3;1;0;376
67426;12067426;Rietz-Neuendorf;;;;;;;149;140;6;3;0;331
67438;12067438;Schlaubetal;;;;;;;46;43;3;0;0;395
67440;12067440;Schöneiche bei Berlin;;;;;;;611;576;34;1;0;379
67458;12067458;Siehdichum;;;;;;;50;49;1;0;0;61
67469;12067469;Spreenhagen;;;;;;;143;128;14;1;0;53
67473;12067473;Steinhöfel;;;;;;;124;118;6;0;0;291
67481;12067481;Storkow (Mark), Stadt;;;;;;;431;393;32;6;0;248
67493;12067493;Tauche;;;;;;;167;155;12;0;0;275
67508;12067508;Vogelsang;;;;;;;19;17;2;0;0;341
67520;12067520;Wendisch Rietz;;;;;;;82;75;6;1;0;170
67528;12067528;Wiesenau;;;;;;;62;58;4;0;0;323
67544;12067544;Woltersdorf;;;;;;;415;387;26;2;0;411
67552;12067552;Ziltendorf;;;;;;;37;35;2;0;0;285
68052;12068052;Breddin;;;;;;;24;22;2;0;0;162
68072;12068072;Dabergotz;;;;;;;20;17;3;0;0;97
68109;12068109;Dreetz;;;;;;;35;33;2;0;0;141
68117;12068117;Fehrbellin;;;;;;;358;325;28;5;0;114
68181;12068181;Heiligengrabe;;;;;;;148;122;21;4;1;195
68188;12068188;Herzberg (Mark);;;;;;;28;25;3;0;0;303
68264;12068264;Kyritz, Stadt;;;;;;;520;466;45;9;0;377
68280;12068280;Lindow (Mark), Stadt;;;;;;;134;122;10;2;0;301
68306;12068306;Märkisch Linden;;;;;;;42;32;6;4;0;177
68320;12068320;Neuruppin, Stadt;;;;;;;1405;1220;134;49;2;404
68324;12068324;Neustadt (Dosse), Stadt;;;;;;;163;146;14;3;0;72
68353;12068353;Rheinsberg, Stadt;;;;;;;397;359;30;8;0;426
68372;12068372;Rüthnick;;;;;;;10;10;0;0;0;75
68409;12068409;Sieversdorf-Hohenofen;;;;;;;25;24;1;0;0;226
68413;12068413;Storbeck-Frankendorf;;;;;;;15;14;1;0;0;46
68417;12068417;Stüdenitz-Schönermark;;;;;;;25;24;1;0;0;259
68425;12068425;Temnitzquell;;;;;;;25;25;0;0;0;205
68426;12068426;Temnitztal;;;;;;;39;36;3;0;0;213
68437;12068437;Vielitzsee;;;;;;;14;13;1;0;0;87
68452;12068452;Walsleben;;;;;;;33;30;2;1;0;218
68468;12068468;Wittstock/Dosse, Stadt;;;;;;;682;599;73;10;0;157
68477;12068477;Wusterhausen/Dosse;;;;;;;237;219;13;5;0;403
68501;12068501;Zernitz-Lohm;;;;;;;32;31;1;0;0;112
69017;12069017;Beelitz, Stadt;;;;;;;578;524;44;8;2;37
69018;12069018;Beetzsee;;;;;;;97;91;5;1;0;221
69019;12069019;Beetzseeheide;;;;;;;23;22;1;0;0;219
69020;12069020;Bad Belzig, Stadt;;;;;;;533;475;48;9;1;237
69028;12069028;Bensdorf;;;;;;;43;42;1;0;0;149
69052;12069052;Borkheide;;;;;;;91;82;6;3;0;86
69056;12069056;Borkwalde;;;;;;;47;47;0;0;0;136
69076;12069076;Brück, Stadt;;;;;;;175;159;13;3;0;99
69089;12069089;Buckautal;;;;;;;10;10;0;0;0;122
69216;12069216;Golzow;;;;;;;70;67;3;0;0;182
69224;12069224;Görzke;;;;;;;71;65;6;0;0;144
69232;12069232;Gräben;;;;;;;22;21;1;0;0;49
69249;12069249;Groß Kreutz (Havel);;;;;;;332;306;25;0;1;77
69270;12069270;Havelsee, Stadt;;;;;;;119;115;4;0;0;220
69304;12069304;Kleinmachnow;;;;;;;925;856;55;13;1;292
69306;12069306;Kloster Lehnin;;;;;;;492;435;48;8;1;16
69345;12069345;Linthe;;;;;;;65;50;11;4;0;145
